Payment_ID,Rental_ID,Payment_Date,Amount,Payment_Method
5153,1153,2024-11-01 00:00:00,2352,Credit Card
5154,1154,2024-03-24 00:00:00,2135,Credit Card
5155,1155,2024-07-29 00:00:00,1986,Credit Card
5156,1156,2024-10-23 00:00:00,2310,Bank Transfer
5157,1157,2024-09-12 00:00:00,2150,Bank Transfer
5158,1158,2024-10-04 00:00:00,1556,Credit Card
5159,1159,2024-03-20 00:00:00,2705,PayPal
5160,1160,2024-10-12 00:00:00,2086,Credit Card
5161,1161,2024-06-25 00:00:00,2007,Credit Card
5162,1162,2024-03-25 00:00:00,2873,PayPal
5163,1163,2024-03-05 00:00:00,2043,Bank Transfer
5164,1164,2024-03-21 00:00:00,849,Cash
5165,1165,2024-05-20 00:00:00,2517,Bank Transfer
5166,1166,2024-10-22 00:00:00,1579,PayPal
5167,1167,2024-11-07 00:00:00,1122,PayPal
5168,1168,2024-07-07 00:00:00,2794,Credit Card
5169,1169,2024-07-01 00:00:00,711,PayPal
5170,1170,2024-11-12 00:00:00,539,PayPal
5171,1171,2024-12-14 00:00:00,606,Credit Card
5172,1172,2024-12-05 00:00:00,535,Credit Card
5173,1173,2024-01-01 00:00:00,2625,Credit Card
5174,1174,2024-10-04 00:00:00,921,Credit Card
5175,1175,2024-08-13 00:00:00,2702,Bank Transfer
5176,1176,2024-05-15 00:00:00,702,PayPal
5177,1177,2024-10-11 00:00:00,1326,Credit Card
5178,1178,2024-05-11 00:00:00,2183,PayPal
5179,1179,2024-12-12 00:00:00,542,PayPal
5180,1180,2024-08-06 00:00:00,920,Bank Transfer
5181,1181,2024-12-14 00:00:00,725,PayPal
5182,1182,2024-01-21 00:00:00,2585,Credit Card
5183,1183,2024-07-26 00:00:00,1891,Cash
5184,1184,2024-05-18 00:00:00,1662,PayPal
5185,1185,2024-08-09 00:00:00,2967,PayPal
5186,1186,2024-08-11 00:00:00,2871,Credit Card
5187,1187,2024-04-29 00:00:00,2233,PayPal
5188,1188,2024-05-11 00:00:00,777,Bank Transfer
5189,1189,2024-10-30 00:00:00,1561,Bank Transfer
5190,1190,2024-10-29 00:00:00,1742,PayPal
5191,1191,2024-02-22 00:00:00,2413,Credit Card
5192,1192,2024-03-27 00:00:00,1482,Credit Card
5193,1193,2024-11-13 00:00:00,850,Credit Card
5194,1194,2024-02-14 00:00:00,1688,Credit Card
5195,1195,2024-07-15 00:00:00,2383,PayPal
5196,1196,2024-05-27 00:00:00,528,Bank Transfer
5197,1197,2024-06-28 00:00:00,1199,PayPal
5198,1198,2024-04-12 00:00:00,1665,Credit Card
5199,1199,2024-04-02 00:00:00,1695,Cash
5200,1200,2024-08-10 00:00:00,2528,Cash
5201,1201,2024-10-22 00:00:00,824,Credit Card
5202,1202,2024-11-03 00:00:00,316,Credit Card
5203,1203,2024-08-14 00:00:00,2300,Credit Card
5204,1204,2024-04-01 00:00:00,2890,Bank Transfer
5205,1205,2024-06-22 00:00:00,2355,Bank Transfer
5206,1206,2024-08-27 00:00:00,2385,Credit Card
5207,1207,2024-12-16 00:00:00,2664,Credit Card
5208,1208,2024-11-06 00:00:00,467,PayPal
5209,1209,2024-06-28 00:00:00,1314,PayPal
5210,1210,2024-02-05 00:00:00,1106,Credit Card
5211,1211,2024-04-08 00:00:00,1246,Bank Transfer
5212,1212,2024-05-03 00:00:00,702,Cash
5213,1213,2024-03-20 00:00:00,1804,Credit Card
5214,1214,2024-05-03 00:00:00,1482,Bank Transfer
5215,1215,2024-04-24 00:00:00,1798,PayPal
5216,1216,2024-02-12 00:00:00,873,PayPal
5217,1217,2024-08-01 00:00:00,484,Cash
5218,1218,2024-04-11 00:00:00,573,PayPal
5219,1219,2024-10-21 00:00:00,2500,Credit Card
5220,1220,2024-10-08 00:00:00,1317,Bank Transfer
5221,1221,2024-06-10 00:00:00,1700,Credit Card
5222,1222,2024-08-28 00:00:00,868,Bank Transfer
5223,1223,2024-10-15 00:00:00,2092,Credit Card
5224,1224,2024-01-21 00:00:00,1292,Credit Card
5225,1225,2024-06-02 00:00:00,2040,PayPal
5226,1226,2024-09-05 00:00:00,2435,Cash
5227,1227,2024-11-21 00:00:00,1110,PayPal
5228,1228,2024-02-03 00:00:00,1261,Credit Card
5229,1229,2024-02-03 00:00:00,1634,Bank Transfer
5230,1230,2024-10-26 00:00:00,1033,Credit Card
5231,1231,2024-11-30 00:00:00,353,Credit Card
5232,1232,2024-04-27 00:00:00,952,Bank Transfer
5233,1233,2024-09-01 00:00:00,1434,Credit Card
5234,1234,2024-05-04 00:00:00,1519,Credit Card
5235,1235,2024-12-01 00:00:00,1545,PayPal
5236,1236,2024-07-15 00:00:00,1601,Bank Transfer
5237,1237,2024-07-10 00:00:00,1805,PayPal
5238,1238,2024-03-26 00:00:00,2573,Credit Card
5239,1239,2024-03-14 00:00:00,1866,PayPal
5240,1240,2024-05-05 00:00:00,1089,Cash
5241,1241,2024-09-05 00:00:00,2289,Bank Transfer
5242,1242,2024-11-26 00:00:00,1515,Cash
5243,1243,2024-07-11 00:00:00,2204,Bank Transfer
5244,1244,2024-09-30 00:00:00,304,Credit Card
5245,1245,2024-03-15 00:00:00,887,PayPal
5246,1246,2024-12-08 00:00:00,2219,Credit Card
5247,1247,2024-01-11 00:00:00,2720,Cash
5248,1248,2024-03-19 00:00:00,2112,PayPal
5249,1249,2024-04-18 00:00:00,944,Credit Card
5250,1250,2024-05-13 00:00:00,688,Credit Card
5251,1251,2024-09-05 00:00:00,2289,Cash
5252,1252,2024-01-28 00:00:00,1170,Bank Transfer
5253,1253,2024-07-22 00:00:00,443,Bank Transfer
5254,1254,2024-08-09 00:00:00,2854,PayPal
5255,1255,2024-09-26 00:00:00,394,PayPal
5256,1256,2024-01-11 00:00:00,1538,Credit Card
5257,1257,2024-03-14 00:00:00,2950,PayPal
5258,1258,2024-08-21 00:00:00,2661,PayPal
5259,1259,2024-06-06 00:00:00,1404,Bank Transfer
5260,1260,2024-08-04 00:00:00,2171,Bank Transfer
5261,1261,2024-12-09 00:00:00,1112,PayPal
5262,1262,2024-09-13 00:00:00,1572,Credit Card
5263,1263,2024-06-09 00:00:00,1316,Credit Card
5264,1264,2024-10-26 00:00:00,597,PayPal
5265,1265,2024-10-18 00:00:00,2333,PayPal
5266,1266,2024-08-07 00:00:00,2038,PayPal
5267,1267,2024-02-22 00:00:00,1073,PayPal
5268,1268,2024-07-07 00:00:00,841,Credit Card
5269,1269,2024-04-27 00:00:00,770,Bank Transfer
5270,1270,2024-09-05 00:00:00,2060,Cash
5271,1271,2024-10-24 00:00:00,1696,PayPal
5272,1272,2024-04-24 00:00:00,1887,Cash
5273,1273,2024-09-15 00:00:00,1450,Bank Transfer
5274,1274,2024-01-30 00:00:00,1441,Credit Card
5275,1275,2024-11-27 00:00:00,907,PayPal
5276,1276,2024-10-12 00:00:00,2730,Credit Card
5277,1277,2024-02-26 00:00:00,1264,Cash
5278,1278,2024-07-18 00:00:00,1877,PayPal
5279,1279,2024-04-06 00:00:00,1891,PayPal
5280,1280,2024-07-24 00:00:00,2381,Credit Card
5281,1281,2024-02-10 00:00:00,911,Credit Card
5282,1282,2024-12-11 00:00:00,1581,PayPal
5283,1283,2024-04-04 00:00:00,434,Cash
5284,1284,2024-12-05 00:00:00,654,Credit Card
5285,1285,2024-11-07 00:00:00,2422,Credit Card
5286,1286,2024-03-13 00:00:00,1661,Credit Card
5287,1287,2024-06-02 00:00:00,680,PayPal
5288,1288,2024-07-10 00:00:00,1795,Credit Card
5289,1289,2024-10-02 00:00:00,1997,PayPal
5290,1290,2024-12-01 00:00:00,643,Credit Card
5291,1291,2024-09-04 00:00:00,735,Credit Card
5292,1292,2024-10-02 00:00:00,2704,Bank Transfer
5293,1293,2024-06-29 00:00:00,1396,PayPal
5294,1294,2024-12-13 00:00:00,2857,Credit Card
5295,1295,2024-01-23 00:00:00,1980,Bank Transfer
5296,1296,2024-07-04 00:00:00,2601,Bank Transfer
5297,1297,2024-04-19 00:00:00,1848,Credit Card
5298,1298,2024-06-24 00:00:00,1388,PayPal
5299,1299,2024-02-19 00:00:00,2510,Credit Card
5300,1300,2024-03-16 00:00:00,1674,Credit Card
5301,1301,2024-06-11 00:00:00,2313,Credit Card
5302,1302,2024-02-28 00:00:00,2121,Credit Card
5303,1303,2024-05-20 00:00:00,330,PayPal
5304,1304,2024-09-21 00:00:00,644,Cash
5305,1305,2024-05-13 00:00:00,1676,PayPal
5306,1306,2024-06-20 00:00:00,1588,Cash
5307,1307,2024-07-28 00:00:00,1930,PayPal
5308,1308,2024-07-05 00:00:00,2482,Credit Card
5309,1309,2024-04-18 00:00:00,1401,Credit Card
5310,1310,2024-09-16 00:00:00,2417,Bank Transfer
5311,1311,2024-07-15 00:00:00,1704,Credit Card
5312,1312,2024-03-06 00:00:00,483,Cash
5313,1313,2024-06-12 00:00:00,1484,Credit Card
5314,1314,2024-02-09 00:00:00,2443,Credit Card
5315,1315,2024-05-14 00:00:00,1743,Bank Transfer
5316,1316,2024-02-29 00:00:00,1998,Credit Card
5317,1317,2024-04-11 00:00:00,1858,Credit Card
5318,1318,2024-01-18 00:00:00,793,Credit Card
5319,1319,2024-10-16 00:00:00,2787,Credit Card
5320,1320,2024-03-02 00:00:00,2209,PayPal
5321,1321,2024-02-09 00:00:00,792,PayPal
5322,1322,2024-02-21 00:00:00,1712,Credit Card
5323,1323,2024-12-19 00:00:00,1341,Bank Transfer
5324,1324,2024-05-12 00:00:00,2680,Bank Transfer
5325,1325,2024-05-30 00:00:00,1430,Credit Card
5326,1326,2024-03-13 00:00:00,902,Credit Card
5327,1327,2024-11-07 00:00:00,1215,Credit Card
5328,1328,2024-10-07 00:00:00,1103,Cash
5329,1329,2024-05-29 00:00:00,638,Bank Transfer
5330,1330,2024-07-09 00:00:00,2290,Cash
5331,1331,2024-12-14 00:00:00,1919,Credit Card
5332,1332,2024-12-13 00:00:00,1704,PayPal
5333,1333,2024-06-23 00:00:00,1909,PayPal
5334,1334,2024-07-04 00:00:00,2657,PayPal
5335,1335,2024-12-15 00:00:00,1751,Credit Card
5336,1336,2024-03-08 00:00:00,461,Credit Card
5337,1337,2024-04-02 00:00:00,1101,Credit Card
5338,1338,2024-09-29 00:00:00,1176,Cash
5339,1339,2024-10-11 00:00:00,2235,Bank Transfer
5340,1340,2024-04-30 00:00:00,1540,Credit Card
5341,1341,2024-01-21 00:00:00,2913,Bank Transfer
5342,1342,2024-07-12 00:00:00,2165,Bank Transfer
5343,1343,2024-01-01 00:00:00,2428,Cash
5344,1344,2024-04-04 00:00:00,2769,Credit Card
5345,1345,2024-02-29 00:00:00,1202,Credit Card
5346,1346,2024-10-13 00:00:00,2592,Credit Card
5347,1347,2024-03-12 00:00:00,1455,Bank Transfer
5348,1348,2024-08-10 00:00:00,1776,Cash
5349,1349,2024-03-28 00:00:00,1321,Credit Card
5350,1350,2024-04-16 00:00:00,1478,Cash
5351,1351,2024-05-09 00:00:00,2373,PayPal
5352,1352,2024-01-12 00:00:00,1819,Credit Card
5353,1353,2024-11-26 00:00:00,1263,Bank Transfer
5354,1354,2024-01-22 00:00:00,369,Credit Card
5355,1355,2024-05-07 00:00:00,1416,Bank Transfer
5356,1356,2024-10-11 00:00:00,642,Cash
5357,1357,2024-07-19 00:00:00,2512,PayPal
5358,1358,2024-10-08 00:00:00,1616,PayPal
5359,1359,2024-07-08 00:00:00,573,Bank Transfer
5360,1360,2024-04-10 00:00:00,2074,Bank Transfer
5361,1361,2024-04-05 00:00:00,1177,Credit Card
5362,1362,2024-10-21 00:00:00,1509,Bank Transfer
5363,1363,2024-06-30 00:00:00,2199,PayPal
5364,1364,2024-01-31 00:00:00,420,PayPal
5365,1365,2024-12-07 00:00:00,1435,PayPal
5366,1366,2024-02-22 00:00:00,1336,PayPal
5367,1367,2024-11-12 00:00:00,2703,Credit Card
5368,1368,2024-07-29 00:00:00,2815,Bank Transfer
5369,1369,2024-06-12 00:00:00,1993,Credit Card
5370,1370,2024-01-06 00:00:00,1626,PayPal
5371,1371,2024-02-14 00:00:00,1929,Credit Card
5372,1372,2024-06-08 00:00:00,865,Bank Transfer
5373,1373,2024-01-18 00:00:00,854,Credit Card
5374,1374,2024-07-07 00:00:00,1837,Bank Transfer
5375,1375,2024-11-28 00:00:00,1920,Credit Card
5376,1376,2024-04-09 00:00:00,2831,Cash
5377,1377,2024-09-29 00:00:00,1920,Bank Transfer
5378,1378,2024-07-27 00:00:00,1595,PayPal
5379,1379,2024-01-21 00:00:00,1510,PayPal
5380,1380,2024-02-12 00:00:00,1437,PayPal
5381,1381,2024-11-25 00:00:00,1903,PayPal
5382,1382,2024-01-03 00:00:00,1569,Credit Card
5383,1383,2024-09-08 00:00:00,2223,PayPal
5384,1384,2024-08-06 00:00:00,2980,Bank Transfer
5385,1385,2024-04-04 00:00:00,1666,PayPal
5386,1386,2024-10-13 00:00:00,903,Credit Card
5387,1387,2024-06-15 00:00:00,1713,Cash
5388,1388,2024-04-14 00:00:00,744,Credit Card
5389,1389,2024-07-14 00:00:00,2395,PayPal
5390,1390,2024-02-05 00:00:00,442,Credit Card
5391,1391,2024-01-07 00:00:00,1746,Credit Card
5392,1392,2024-03-20 00:00:00,1157,Credit Card
5393,1393,2024-12-03 00:00:00,2420,Credit Card
5394,1394,2024-02-12 00:00:00,2443,Credit Card
5395,1395,2024-04-02 00:00:00,1086,Bank Transfer
5396,1396,2024-06-04 00:00:00,2806,Bank Transfer
5397,1397,2024-09-13 00:00:00,372,PayPal
5398,1398,2024-10-17 00:00:00,1822,PayPal
5399,1399,2024-04-09 00:00:00,2728,PayPal
5400,1400,2024-07-19 00:00:00,2156,Bank Transfer
5401,1401,2024-04-26 00:00:00,2899,Credit Card
5402,1402,2024-05-07 00:00:00,2973,PayPal
5403,1403,2024-08-07 00:00:00,893,PayPal
5404,1404,2024-01-23 00:00:00,2624,Bank Transfer
5405,1405,2024-03-27 00:00:00,506,PayPal
5406,1406,2024-11-30 00:00:00,2487,Cash
5407,1407,2024-07-08 00:00:00,455,Credit Card
5408,1408,2024-07-25 00:00:00,322,Credit Card
5409,1409,2024-09-02 00:00:00,817,Credit Card
5410,1410,2024-11-17 00:00:00,311,Cash
5411,1411,2024-03-25 00:00:00,534,PayPal
5412,1412,2024-12-01 00:00:00,1559,PayPal
5413,1413,2024-10-26 00:00:00,2746,Cash
5414,1414,2024-05-21 00:00:00,795,Credit Card
5415,1415,2024-03-27 00:00:00,1502,Credit Card
5416,1416,2024-09-26 00:00:00,1458,Bank Transfer
5417,1417,2024-10-18 00:00:00,605,Bank Transfer
5418,1418,2024-07-12 00:00:00,1574,Credit Card
5419,1419,2024-04-30 00:00:00,1398,Bank Transfer
5420,1420,2024-04-07 00:00:00,544,Credit Card
5421,1421,2024-08-03 00:00:00,1053,PayPal
5422,1422,2024-03-26 00:00:00,1567,PayPal
5423,1423,2024-02-10 00:00:00,875,Bank Transfer
5424,1424,2024-08-06 00:00:00,865,Bank Transfer
5425,1425,2024-04-21 00:00:00,866,Bank Transfer
5426,1426,2024-05-16 00:00:00,1808,Credit Card
5427,1427,2024-12-13 00:00:00,438,Credit Card
5428,1428,2024-09-03 00:00:00,2406,Credit Card
5429,1429,2024-05-11 00:00:00,2187,PayPal
5430,1430,2024-09-08 00:00:00,2983,Credit Card
5431,1431,2024-04-07 00:00:00,1765,Credit Card
5432,1432,2024-12-11 00:00:00,2956,PayPal
5433,1433,2024-02-08 00:00:00,1932,PayPal
5434,1434,2024-01-13 00:00:00,840,Cash
5435,1435,2024-06-30 00:00:00,1417,PayPal
5436,1436,2024-06-04 00:00:00,782,Credit Card
5437,1437,2024-08-25 00:00:00,2611,Cash
5438,1438,2024-10-27 00:00:00,2595,Credit Card
5439,1439,2024-10-10 00:00:00,2973,Credit Card
5440,1440,2024-05-23 00:00:00,1249,PayPal
5441,1441,2024-03-24 00:00:00,1338,Bank Transfer
5442,1442,2024-02-11 00:00:00,931,Credit Card
5443,1443,2024-02-01 00:00:00,587,PayPal
5444,1444,2024-04-12 00:00:00,2688,Credit Card
5445,1445,2024-10-21 00:00:00,2123,Credit Card
5446,1446,2024-10-25 00:00:00,2486,Credit Card
5447,1447,2024-12-18 00:00:00,2029,PayPal
5448,1448,2024-11-20 00:00:00,1173,PayPal
5449,1449,2024-10-09 00:00:00,814,PayPal
5450,1450,2024-05-21 00:00:00,2090,PayPal
5451,1451,2024-12-03 00:00:00,467,PayPal
5452,1452,2024-07-29 00:00:00,2156,Credit Card
5453,1453,2024-02-05 00:00:00,1761,Credit Card
5454,1454,2024-01-17 00:00:00,1247,PayPal
5455,1455,2024-10-22 00:00:00,597,PayPal
5456,1456,2024-06-01 00:00:00,2142,Credit Card
5457,1457,2024-08-01 00:00:00,844,Cash
5458,1458,2024-08-11 00:00:00,2018,Credit Card
5459,1459,2024-11-02 00:00:00,2277,Credit Card
5460,1460,2024-04-22 00:00:00,340,Credit Card
5461,1461,2024-02-21 00:00:00,764,PayPal
5462,1462,2024-01-29 00:00:00,2664,Bank Transfer
5463,1463,2024-01-27 00:00:00,403,Cash
5464,1464,2024-08-04 00:00:00,1938,Credit Card
5465,1465,2024-09-13 00:00:00,1013,Credit Card
5466,1466,2024-07-18 00:00:00,1070,Credit Card
5467,1467,2024-09-25 00:00:00,2600,Bank Transfer
5468,1468,2024-06-15 00:00:00,397,Credit Card
5469,1469,2024-08-09 00:00:00,1031,Cash
5470,1470,2024-09-23 00:00:00,1946,PayPal
5471,1471,2024-10-25 00:00:00,796,PayPal
5472,1472,2024-06-14 00:00:00,1875,Credit Card
5473,1473,2024-08-07 00:00:00,987,Bank Transfer
5474,1474,2024-06-26 00:00:00,1166,PayPal
5475,1475,2024-02-13 00:00:00,1194,Cash
5476,1476,2024-02-02 00:00:00,1965,Credit Card
5477,1477,2024-05-13 00:00:00,2736,Credit Card
5478,1478,2024-09-04 00:00:00,1112,Credit Card
5479,1479,2024-03-04 00:00:00,2573,Credit Card
5480,1480,2024-09-18 00:00:00,1588,Bank Transfer
5481,1481,2024-01-19 00:00:00,958,PayPal
5482,1482,2024-10-08 00:00:00,1967,PayPal
5483,1483,2024-12-07 00:00:00,1732,Credit Card
5484,1484,2024-01-22 00:00:00,2825,Credit Card
5485,1485,2024-07-20 00:00:00,1762,Credit Card
5486,1486,2024-06-06 00:00:00,1702,Credit Card
5487,1487,2024-11-05 00:00:00,658,Credit Card
5488,1488,2024-06-24 00:00:00,892,Credit Card
5489,1489,2024-05-21 00:00:00,1818,Cash
5490,1490,2024-03-11 00:00:00,557,Bank Transfer
5491,1491,2024-11-09 00:00:00,2877,Bank Transfer
5492,1492,2024-01-01 00:00:00,1283,PayPal
5493,1493,2024-02-05 00:00:00,1380,Cash
5494,1494,2024-02-28 00:00:00,2121,Bank Transfer
5495,1495,2024-03-25 00:00:00,380,Credit Card
5496,1496,2024-04-22 00:00:00,768,PayPal
5497,1497,2024-01-26 00:00:00,2878,PayPal
5498,1498,2024-04-28 00:00:00,844,Credit Card
5499,1499,2024-02-11 00:00:00,997,Credit Card
5500,1500,2024-01-24 00:00:00,2658,PayPal
5501,1501,2024-05-28 00:00:00,1210,Bank Transfer
5502,1502,2024-01-05 00:00:00,1905,Credit Card
5503,1503,2024-06-08 00:00:00,1713,Cash
5504,1504,2024-09-01 00:00:00,718,Bank Transfer
